ConstraintID,Type,Description,Enabled
"K1,hard,""Satu kelompok mahasiswa tidak boleh memiliki dua jadwal di waktu yang sama."",1"
"K2,hard,""Satu dosen tidak boleh mengajar dua kelas di waktu yang sama."",1"
"K3,hard,""Jadwal praktikum (Tipe 3) tingkat 2 tidak boleh bentrok dengan jadwal tingkat 3."",1"
"K4,hard,""Jadwal matkul wajib (Tipe 1) tingkat 4 tidak boleh bentrok dengan matkul pilihan (Tipe 2) tingkat 4."",1"
"K5,hard,""Slot waktu terlarang (misal: rapat dosen) tidak boleh digunakan."",1"
"K6,hard,""Beberapa sesi dari satu mata kuliah tidak boleh dijadwalkan pada hari yang sama."",1"
"K7,hard,""Seorang dosen tidak boleh mengajar lebih dari 5 jam dalam satu hari."",1"
"K8,hard,""Satu kelompok mahasiswa tidak boleh kuliah lebih dari 6 jam dalam satu hari."",1"
"L1,soft,""Sesi kuliah 1 SKS sebaiknya tidak ditempatkan di awal atau akhir hari."",1"
"L2,soft,""Jadwal matkul sulit tingkat 2 tidak boleh bentrok dengan jadwal tingkat 3."",1"
"L3,soft,""Mahasiswa sebaiknya tidak memiliki lebih dari 2 sesi kelas berturut-turut tanpa jeda."",1"
"L4,soft,""Dosen sebaiknya memiliki setidaknya satu hari libur mengajar per minggu (mengajar maks 4 hari)."",1"
"L5,soft,""Sebuah kelas sebaiknya diajar oleh Dosen Utamanya."",1"
